game,source,source_url,draw_number,draw_date,draw_day,main_draw_label,jackpot_amount,main_1,main_2,main_3,main_4,main_5,main_6,bonus_number,extra_number,secondary_numbers,secondary_ball_result
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3384,3384,2016-06-25,Saturday,MAIN DRAW,7000000.00,4,5,6,8,39,42,30,4706909,52710555-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3385,3385,2016-06-29,Wednesday,MAIN DRAW,5000000.00,8,11,20,24,41,42,47,3259575,77042364-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3386,3386,2016-07-02,Saturday,MAIN DRAW,7000000.00,1,16,28,33,39,45,13,6961894,05161268-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3387,3387,2016-07-06,Wednesday,MAIN DRAW,9383662.50,7,12,22,35,39,43,13,3201380,27734054-01;05559149-02;27678998-01;27719789-04;56327136-01;56738986-01;56886627-01;04862581-01;05463236-02;05584780-01;05664993-05;05682288-03;05732385-01;27548475-01;27581114-01;27592144-01;27640769-01;27730667-06;27790505-03;27830175-02;45026618-01;47423735-04;55943886-01;55947074-01;56067951-01;56070985-01;56151584-01;56156369-01;56183806-01;56212828-02;56248639-03;56418552-01;56524242-01;56541212-02;56568352-01;56648027-02;56690192-01;56780368-01;56801401-06;56872678-01;56881219-01;56972255-03;57034607-01;60191809-01;65716601-01;68816950-03;68823369-01;72826782-01;73709823-02;76229190-01;76382860-01;76402385-01;97554300-01;97823546-04;97872784-02;97917393-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3388,3388,2016-07-09,Saturday,MAIN DRAW,5000000.00,23,28,30,32,42,44,24,3233612,57380461-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3389,3389,2016-07-13,Wednesday,MAIN DRAW,7000000.00,2,7,25,30,34,36,6,6957362,28445485-02;06171056-01;28021013-01;28388620-03;58858829-02;58902567-03;64883243-01;06270157-01;26646220-01;28276686-02;28297568-01;28297594-01;28394944-05;28487683-01;28500064-01;28522669-02;28557511-01;28564533-01;28583379-01;28594784-02;28641875-02;49275548-01;56810162-02;57118276-02;57220100-02;58224387-01;58242598-01;58397590-02;58417290-01;58484066-01;58501958-01;58557012-02;58560378-01;58575711-01;58657438-01;58747727-01;58805099-06;58891594-01;58904349-02;58989819-01;59008982-02;59162956-01;59341651-02;60957861-01;62601027-02;65795740-01;68796974-04;68940016-01;70029948-01;70407565-01;70590068-02;72962399-02;73054835-01;76537144-02;77753186-08;98270211-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3390,3390,2016-07-16,Saturday,MAIN DRAW,5000000.00,15,25,26,33,38,47,27,2806131,40406436-03,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3391,3391,2016-07-20,Wednesday,MAIN DRAW,5000000.00,14,15,16,43,44,46,38,6452330,40933894-03;29149210-02;29371928-04;40466003-01;40560657-02;41188653-02;41564432-02;06766410-01;06796858-02;06914235-02;27417700-01;29092354-01;29113685-02;29125616-01;29216831-01;29224082-01;29232721-02;29450699-01;40469009-01;40630497-02;40643537-03;40669831-01;40684882-01;40742695-03;40756553-01;41059711-01;41091326-01;41211619-01;41276300-01;41462043-03;41494707-01;41500032-01;41512839-01;41514972-04;41528239-01;41577817-01;58239687-02;60260711-01;62733844-01;62760812-01;62768300-01;65373098-01;65844401-01;65967364-01;69051502-04;69078904-01;70707581-02;72664542-01;73874619-01;75206272-02;76678948-01;76711516-01;98709706-01;98742865-01;98847176-02;98956648-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3392,3392,2016-07-23,Saturday,MAIN DRAW,5000000.00,7,18,34,41,48,49,29,5857330,42415973-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3393,3393,2016-07-27,Wednesday,MAIN DRAW,5000000.00,6,7,9,39,47,49,15,4137035,42821088-01;42810488-01;43067710-02;43233614-01;43574009-01;43668057-01;70734674-04;07497593-01;07611875-01;07624930-01;07717834-01;20511929-01;28341953-01;28914954-01;29964687-01;29977752-01;30004623-01;30114841-02;30156559-01;30219471-02;30246425-01;30295179-01;30322098-01;41237754-03;42850187-01;42965706-02;43059320-02;43125908-01;43223428-02;43263260-02;43349162-09;43388165-01;43503610-01;43565007-01;43595047-01;43652298-06;43656484-01;43710731-01;43763119-01;43775645-02;43794082-01;58348217-02;58577935-01;60273213-01;60990820-01;62932516-02;63783453-04;69377084-01;70803815-01;70852564-03;74048404-01;76706191-01;76847119-01;99224291-01;99366847-01;99451065-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3394,3394,2016-07-30,Saturday,MAIN DRAW,7000000.00,4,5,9,19,22,23,16,6381997,30641125-01,
